New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_10457,10.6,0.0
V2_IMOTIF_10458,26.28,0.443
V2_IMOTIF_10459,-0.21,0.0
V2_IMOTIF_1046,26.69,0.281
V2_IMOTIF_10460,21.72,0.483
V2_IMOTIF_10461,-0.36,0.257
V2_IMOTIF_10462,20.61,0.0
V2_IMOTIF_10463,18.49,0.0
V2_IMOTIF_10464,16.58,0.247
V2_IMOTIF_10465,16.86,0.372
V2_IMOTIF_10466,15.69,0.249
V2_IMOTIF_10467,26.94,0.216
V2_IMOTIF_10468,20.48,0.341
V2_IMOTIF_10469,1.36,0.0
V2_IMOTIF_1047,14.27,0.336
V2_IMOTIF_10470,15.03,0.0
V2_IMOTIF_10471,0.59,0.424
V2_IMOTIF_10472,15.62,0.257
V2_IMOTIF_10473,16.65,0.386
V2_IMOTIF_10474,10.54,0.0
V2_IMOTIF_10475,4.31,0.0
V2_IMOTIF_10476,0.18,0.373
V2_IMOTIF_10477,17.74,0.409
V2_IMOTIF_10478,10.35,0.463
V2_IMOTIF_10479,20.55,0.313
V2_IMOTIF_1048,16.89,0.288
V2_IMOTIF_10480,13.02,0.0
V2_IMOTIF_10481,17.15,0.332
V2_IMOTIF_10482,9.43,0.321
V2_IMOTIF_10483,-0.46,0.386
V2_IMOTIF_10484,19.25,0.277
V2_IMOTIF_10485,1.49,0.246
V2_IMOTIF_10486,-0.37,0.0
V2_IMOTIF_10487,-0.37,0.0
V2_IMOTIF_10488,-0.36,0.0
V2_IMOTIF_10489,16.94,0.395
V2_IMOTIF_1049,0.31,0.0
V2_IMOTIF_10490,37.61,0.288
V2_IMOTIF_10491,3.38,0.333
V2_IMOTIF_10492,-0.36,0.0
V2_IMOTIF_10493,10.76,0.36
V2_IMOTIF_10494,24.42,0.39
V2_IMOTIF_10495,-0.3,0.0
V2_IMOTIF_10496,0.23,0.28
V2_IMOTIF_10497,15.11,0.308
V2_IMOTIF_10498,2.25,0.0
V2_IMOTIF_10499,3.11,0.445
V2_IMOTIF_105,-0.41,0.0
V2_IMOTIF_1050,1.5,0.0
V2_IMOTIF_10500,-0.45,0.0
V2_IMOTIF_10501,0.14,0.0
V2_IMOTIF_10502,-0.46,0.0
V2_IMOTIF_10503,21.45,0.411
V2_IMOTIF_10504,2.29,0.423
V2_IMOTIF_10505,11.82,0.392
V2_IMOTIF_10506,0.62,0.463
V2_IMOTIF_10507,-0.5,0.456
V2_IMOTIF_10508,-0.4,0.0
V2_IMOTIF_10509,-0.42,0.0
V2_IMOTIF_1051,12.29,0.365
V2_IMOTIF_10510,-0.42,0.322
V2_IMOTIF_10511,-0.29,0.0
V2_IMOTIF_10512,1.06,0.286
V2_IMOTIF_10513,-0.17,0.464
V2_IMOTIF_10514,0.52,0.0
V2_IMOTIF_10515,22.7,0.0
